year,wld_co2,wld_ghg,uk_co2,Uk_ghg
1990,22697.61,34967.34,600.48,758.03
1991,23169.53,35125.44,608.58,771.71
1992,22444.95,34985.53,593.09,748.77
1993,22682.60,35079.63,578.84,731.62
1994,22843.79,35287.61,575.11,721.58
1995,23332.16,36012.63,566.81,711.79
1996,24050.84,36025.05,588.44,732.89
1997,24191.15,37342.50,562.56,710.09
1998,24112.12,36976.63,567.81,705.98
1999,24431.05,36810.09,560.95,679.23
2000,25119.04,37420.92,567.50,679.53
2001,25332.20,38379.96,576.20,687.32
2002,25911.19,39824.70,560.30,668.26
2003,27176.18,40678.67,571.77,677.15
2004,28470.45,42452.22,573.22,670.80
2005,29410.89,43354.52,569.93,664.40
2006,30374.55,43723.50,567.53,661.66
2007,31293.86,44584.43,559.25,645.62
2008,31946.03,44952.27,544.81,624.23
2009,31464.20,44936.19,494.29,568.84
2010,33131.91,46552.37,512.02,581.78
2011,34209.58,47802.54,469.80,538.11
2012,34760.01,48348.77,487.80,559.76
2013,34987.26,48961.60,477.90,541.18
2014,35244.87,49440.79,439.06,500.98
2015,35209.45,49854.98,422.49,484.63
2016,35220.41,49358.03,399.11,461.54
2017,35696.35,49804.85,388.09,474.24
2018,36419.71,50507.91,380.14,468.06
2019,36441.39,50495.89,369.88,454.77
